Timestamp start: 1684600372478
Timestamp end: 1684602172894

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      359.3   245.4    80.4   143.4   162.2   328.5   408.7   453.5   486.3   528.3   584.5   674.5   911.6  1674.0  8194.5  36725.2    36665
read      343.3   225.8    80.4   139.3   157.8   302.7   382.4   429.5   465.0   508.4   570.6   670.2   908.6  2574.3  6958.2  85307.0    85269
read      359.6   250.7    80.4   144.0   162.9   331.1   411.4   455.1   486.9   526.8   580.7   667.1   880.6  1815.4  9622.9  31466.2    31525
read      359.5   247.7    80.4   141.1   159.7   319.8   404.3   453.0   489.5   535.9   597.0   695.9   974.1  2120.7  8390.0  61689.0    61798
read      415.2   350.9    86.8   150.7   174.2   375.8   464.8   525.3   569.9   619.1   678.1   762.5   937.0  4046.6 12491.0  12215.9    12253
read      483.8   412.8    80.4   145.1   166.9   363.3   511.2   647.3   762.2   876.0   993.3  1140.9  1387.5  3703.3 12700.4  25754.1    25710
read      350.6   263.6    80.4   138.6   156.6   303.5   385.3   433.3   469.6   516.2   581.0   688.1  1034.4  2584.0  7968.7  79762.6    79937
read      375.8   338.1    93.8   168.3   202.9   345.3   406.2   444.5   472.1   505.9   551.7   622.1   780.0  4135.6 12410.3   7226.7     7271
read      355.6   303.8    80.4   139.3   157.9   305.4   386.1   433.9   470.4   517.0   582.2   691.4  1098.8  2998.8  8887.4  85757.3    85861
read      338.6   262.3    80.4   138.9   156.9   298.2   375.2   421.2   455.9   498.8   557.9   657.0   891.1  2472.3  9433.2  91428.9    91467
read      348.9   240.7    80.4   138.6   156.1   308.8   392.3   440.0   475.1   519.5   580.2   681.3   937.1  2318.6  7268.7  72396.5    72217
read      359.7   252.0    80.4   143.8   162.6   330.8   412.2   457.1   489.4   529.3   581.8   664.6   869.3  1653.1  8431.8  31056.4    31080
read      355.4   268.0    80.4   140.0   158.6   312.2   396.6   445.5   482.2   529.3   592.7   698.4   968.0  2577.3  8344.5  76845.7    76878
read      343.7   240.7    80.4   138.8   157.1   302.3   382.3   429.5   464.8   508.3   571.4   671.7   916.6  2558.0  7916.0  84623.3    84584
read      401.4   323.2    86.8   149.5   173.2   367.6   453.0   505.7   546.2   591.2   645.5   727.8   889.1  3859.1 12221.0  12536.6    12492
read      364.1   286.6    74.4   140.5   158.9   319.1   402.4   451.2   488.2   535.1   597.7   706.4  1224.9  2178.0 11691.6  57113.5    57106
read      338.4   249.3    80.4   140.9   159.7   297.8   373.1   418.3   452.7   495.0   552.1   651.1   887.1  2832.8  8010.3  96193.8    96245
read      373.4   342.6    93.8   173.8   209.5   344.8   403.5   438.2   464.7   496.9   538.8   596.2   729.5  4435.5 12538.8   6758.8     6791
read      364.4   336.4    80.4   140.1   159.1   304.8   384.1   432.7   469.5   517.2   585.0   714.6  1611.4  2985.9 12462.7  90678.9    90728
read      354.5   389.5    93.8   179.3   212.1   321.9   369.8   398.6   421.1   448.1   484.4   544.5   691.0  6103.4 15622.6   5149.5     5151
read      364.1   305.6    80.4   139.8   158.8   309.7   392.4   442.0   480.2   529.3   595.1   717.1  1257.0  2909.0  9385.0  82851.9    82969
read      361.7   259.1    80.4   142.7   161.6   328.8   409.1   454.5   488.6   532.0   588.9   681.4   971.7  1765.3  8416.8  42603.1    42635
read      334.9   213.6    80.4   140.5   159.1   298.3   372.0   416.4   450.2   491.9   548.3   643.3   859.2  2238.3  7612.2  99463.6    99337
read      336.9   245.2    80.4   139.4   157.8   297.7   373.8   419.1   453.1   495.0   553.0   650.3   870.6  2643.0  8068.5  94966.5    95192
