Timestamp start: 1684856473470
Timestamp end: 1684858274998

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      303.3   171.0    80.4   130.7   146.7   278.0   343.2   381.4   409.8   446.5   494.2   563.7   702.9  1246.1  5324.3  84698.4    84584
read      302.9   257.8    80.4   136.7   154.0   283.8   337.0   369.9   395.0   424.3   461.9   514.7   619.0  1161.4 14055.1  12450.0    12492
read      326.9   248.7    80.4   132.1   148.5   284.9   349.8   389.3   419.2   456.9   507.8   599.0  1360.8  1890.2  7294.2  57055.3    57106
read      301.6   179.1    74.4   130.3   146.7   274.9   338.7   376.8   406.5   444.9   494.3   566.3   709.3  1118.7  4732.1  96197.0    96245
read      279.5   268.6    86.8   149.0   170.4   261.4   296.0   316.8   332.4   350.4   374.5   413.9   518.1  4226.9 10405.6   6877.1     6791
read      312.0   219.0    80.4   130.5   147.0   277.5   341.4   380.4   410.8   449.8   501.6   583.6   885.5  2497.3  6354.4  90512.3    90728
read      266.3   405.7    93.8   152.8   173.9   246.4   273.3   289.1   300.2   314.5   333.3   363.2   436.8  4210.5 22370.6   5145.1     5151
read      309.7   206.8    74.4   130.6   146.7   277.9   342.6   381.3   410.5   448.2   498.2   576.5   871.0  1993.5  5944.4  83026.0    82969
read      294.7   147.7    80.4   130.4   146.3   278.7   337.4   370.1   394.2   422.5   459.0   513.6   634.3  1347.2  4253.5  42690.3    42635
read      304.1   179.6    74.4   131.7   148.1   275.5   339.6   378.3   408.8   447.5   498.4   575.4   728.5  1270.9  5607.3  99124.0    99337
read      306.0   174.0    80.4   131.4   147.8   278.2   343.1   382.0   412.2   451.0   502.5   581.2   735.7  1128.0  5241.9  95142.7    95192
read      302.9   193.7    80.4   130.2   145.9   280.8   344.3   380.7   407.0   439.9   483.0   545.5   686.6  1543.8  6792.3  69195.7    69200
read      297.2   179.9    74.4   129.7   145.3   279.0   339.6   373.7   398.1   427.5   465.1   523.2   656.6  1287.2  7457.3  49581.1    49459
read      286.4   174.6    80.4   131.7   147.5   267.5   329.4   361.8   383.9   407.9   438.1   486.9   593.3  1237.1  6045.7  29057.3    29055
read      297.9   164.1    74.4   129.4   144.9   278.7   341.0   376.0   401.7   432.9   472.1   532.9   660.9  1410.8  4967.1  64263.1    64324
read      268.3   224.3    93.8   152.1   174.1   251.8   282.2   299.4   312.8   328.3   347.6   379.5   472.5  4157.7  7827.0   5765.1     5705
read      313.3   247.1    80.4   130.3   146.6   278.1   343.0   381.9   411.6   449.5   501.3   586.2   990.9  2252.4  6412.7  84734.7    84816
read      344.5   248.0    80.4   132.5   148.7   287.6   371.5   430.9   490.4   564.3   640.5   738.4   945.9  1317.4  9591.7  23682.9    23714
read      308.1   209.9    74.4   129.8   145.4   276.6   341.4   379.1   407.1   442.7   489.1   562.7  1001.0  1870.0  5826.4  74109.3    74116
read      328.7   272.7    80.4   132.3   148.4   292.5   365.8   412.3   453.9   505.3   565.5   648.1   786.6  1243.1  9511.7  19965.9    19948
read      319.4   230.5    80.4   130.5   146.5   277.7   342.0   380.8   409.2   446.9   501.9   638.2  1135.3  1469.7  6270.0  44280.7    44213
read      325.8   220.1    86.8   133.2   148.7   292.3   362.7   408.4   449.6   499.2   556.2   639.0   789.0  1099.0  8070.0  19391.0    19454
read      282.7   282.4    86.8   147.4   168.2   262.4   302.7   324.5   340.8   360.0   383.9   423.0   523.9  4082.3 13580.4   7243.6     7190
read      327.2   221.2    80.4   134.1   152.2   297.0   360.7   398.3   427.1   461.9   508.0   586.9  1108.9  1706.0  7570.3  47683.3    47657
read      317.8   195.8    80.4   136.8   154.7   298.7   361.1   396.3   422.6   454.3   495.3   555.9   710.7  1463.2  8114.5  44519.1    44399
read      286.3   324.8    93.8   154.1   176.3   263.4   298.4   319.1   334.7   352.4   375.4   414.3   514.9  4542.0 13069.7   6504.7     6481
read      281.0   477.9    93.8   155.0   177.0   259.2   292.0   310.6   323.4   339.9   361.0   393.8   486.9  4015.3 33159.1   5748.6     5807
read      320.0   254.8    74.4   131.4   147.7   279.6   345.3   384.8   415.6   455.3   507.8   593.8  1198.1  2428.6  7087.3  82887.0    83137
read      293.3   251.9    86.8   141.4   161.2   273.6   317.7   344.1   365.4   390.5   423.0   472.5   591.8  2813.7  9700.9   9610.0     9580
read      335.6   236.2    80.4   134.1   152.3   290.4   353.1   391.3   421.0   459.5   517.5   695.6  1228.6  1757.6  6262.7  37595.0    37385
read      300.5   222.2    80.4   131.6   148.8   278.7   336.6   369.3   393.0   420.9   456.4   508.7   668.7  3286.5  6502.8  33709.1    33706
read      292.5   185.2    80.4   130.6   147.3   275.2   332.5   364.8   388.0   414.6   448.3   499.1   612.1  1418.3  7748.6  35311.3    35204
read      306.9   199.0    80.4   130.9   147.3   286.8   347.8   383.4   408.9   440.0   480.8   539.4   703.1  1722.9  6845.5  50366.1    50438
read      302.8   190.8    80.4   130.4   146.5   285.3   346.0   380.3   405.0   435.2   474.0   532.4   668.6  1420.7  7853.2  48881.7    48878
read      298.2   185.8    74.4   130.1   146.2   280.9   340.5   374.2   398.9   427.6   464.1   520.4   643.7  1245.0  6545.5  42652.6    42682
read      337.9   282.9    80.4   131.1   147.2   276.7   356.7   404.0   449.0   524.9   636.7   765.8   994.2  1625.7  9395.3  27509.3    27416
read      319.3   277.7    80.4   131.3   147.2   284.0   350.0   389.3   418.8   455.0   501.5   578.1  1206.6  1971.7  8136.6  64328.3    64424
read      308.1   187.0    80.4   131.7   147.7   286.5   351.1   388.5   416.3   450.4   494.2   554.9   686.0  1585.1  7120.3  64621.6    64364
read      267.5   279.6    93.8   152.1   173.7   250.7   281.0   297.6   310.9   325.6   345.1   376.5   467.9  3847.9 14035.5   5493.0     5481
read      401.7   333.7    86.8   134.2   151.3   289.8   391.9   502.1   640.3   753.0   883.6  1002.6  1177.2  1469.8 10213.5  26085.7    26227
read      404.1   346.3    80.4   134.3   151.4   288.3   391.6   495.7   639.2   758.8   894.0  1012.0  1205.3  2482.7  9068.7  26606.1    26586
read      338.2   282.5    80.4   132.4   149.5   286.8   354.6   396.5   430.3   472.3   532.9   636.8  1546.4  3025.5  5662.5  86269.9    86286
read      340.3   261.5    80.4   131.6   147.4   284.4   366.8   420.9   473.7   548.4   633.0   733.0   930.2  1378.2  9847.4  24577.3    24452
read      368.1   253.5    80.4   130.9   147.0   289.3   394.1   490.9   569.1   642.0   721.7   833.4  1018.5  1314.8  6313.2  26934.9    26832
read      377.6   300.7    80.4   130.4   146.0   280.6   384.1   481.2   588.7   686.0   775.4   912.1  1092.2  2459.2  9181.7  29986.3    29795
read      311.0   225.4    80.4   130.1   145.9   278.3   340.2   376.0   402.4   435.7   482.4   563.9  1092.5  1612.3  9105.4  46159.6    46224
read      300.3   175.4    80.4   130.6   146.6   274.7   339.9   377.6   405.6   441.1   487.5   554.9   694.1  1201.8  5508.0  84494.3    84587
read      309.7   188.1    74.4   132.8   149.3   286.6   352.6   390.4   418.3   451.7   494.3   556.0   700.4  1561.0  7351.7  63318.0    63389
read      301.7   194.4    74.4   131.4   147.4   283.0   343.7   378.2   402.9   432.9   470.8   529.8   656.2  1499.8  6070.7  46843.3    46953
read      304.0   192.7    80.4   131.0   147.5   277.5   341.4   379.6   408.8   446.4   495.7   568.5   709.5  1171.6  7351.5  90443.1    90536
read      314.2   262.1    86.8   138.0   156.9   291.5   348.6   384.0   409.4   439.2   478.9   539.2   651.8  3027.0  9566.0  12448.1    12508
read      325.2   238.1    80.4   133.6   151.2   291.4   353.6   390.6   418.6   453.5   501.3   588.9  1120.5  1685.2  7293.9  38628.0    38491
read      307.2   182.2    74.4   131.8   148.6   277.7   343.2   383.1   413.5   452.2   502.1   578.4   737.9  1652.3  5106.4  98080.1    97806
read      312.3   228.3    86.8   138.8   157.6   289.4   345.1   380.0   405.7   437.0   475.6   530.5   647.4  2961.5  9655.0  11855.1    11813
read      331.8   227.9    80.4   136.3   154.4   297.3   360.7   397.8   426.9   463.7   513.7   605.6  1150.1  1550.1  7299.8  39562.9    39665
read      323.2   206.3    80.4   135.8   153.6   301.2   367.1   404.4   433.3   468.3   513.4   578.9   736.7  1599.9  6415.5  53401.3    53571
